content,0,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360
PD30,16.492,16.8415,18.193,18.5815,160.115,336.4395,357.2265,426.7795,2406.57,3109.155,2493.851,2517.05,2406.267,2514.426,2544.033,2853.601
PD31,13.1285,14.291,13.9305,13.796,14.6655,14.77,14.2285,14.7935,72.51,318.6705,1166.651,2039.084,2358.247,2585.651,2305.174,2080.314
PD32,15.744,15.6545,15.4235,1489.243,1914.953,2132.134,1510.281,3280.667,3472.715,3230.291,3178.196,3613.182,3790.107,3528.895,3539.677,3689.656
PD33,16.587,15.8135,15.0685,16.1895,17.5585,137.9935,742.349,3124.529,3148.51,2807.484,2505.217,2719.552,2886.1,2805.731,2601.452,2828.276
PD34,16.975,17.344,15.602,16.857,18.7205,18.229,19.074,22.162,115.9425,1980.108,1837.209,1925.938,2107.657,2769.433,2917.126,3139.441
PD35,18.1065,17.5055,16.823,17.9295,19.3105,511.1585,1999.944,2612.253,3733.456,3778.522,3629.025,3555.101,3630.393,3690.214,3749.323,3781.114
PD36,18.318,17.707,17.117,18.723,48.164,530.874,738.8955,1059.182,1389.021,1489.388,1679.441,1478.29,1660.96,1759.263,1309.805,1527.413
PD37,13.638,14.2735,15.364,15.434,16.332,15.897,55.8925,385.08,1801.306,3362.734,4742.883,4471.465,4389.248,4720.17,4720.715,4599.257
PD38,14.158,14.313,15.692,15.8095,15.7525,15.646,15.9435,16.5435,16.2585,17.0885,180.2595,573.045,1640.501,3276.235,3537.72,3712.094
PD39,15.2125,15.276,16.8465,17.243,17.3025,17.508,18.179,17.762,28.0165,112.9625,450.6745,1221.367,1318.449,2025.22,2479.827,2531.421
PD40,16.6105,16.4545,16.7965,17.432,17.2625,19.814,895.338,2660.859,2389.154,3856.483,4305.155,4217.061,4056.742,3912.946,4005.811,4129.24
PD41,17.206,16.734,18.251,18.31,18.277,19.093,19.427,18.916,723.696,3494.374,3687.287,3880.419,3117.821,3449.709,3348.669,3659.189
PD42,16.1775,15.322,16.252,16.8245,16.7865,17.272,18.153,37.362,144.527,1256.928,4006.101,4586.099,4259.915,4300.057,4106.439,4285.167
PD43,16.1175,15.596,16.2195,17.252,16.7135,17.8885,18.061,17.9555,17.1395,138.4565,1795.543,1814.762,3180.942,3429.989,3247.332,3444.583
PD44,15.5315,15.3195,15.7215,16.0105,16.8575,17.5905,17.3345,17.804,17.9015,17.8685,74.1655,3168.431,3347.902,2883.292,3021.145,2955.394
PD45,14.2315,14.224,14.9015,15.1615,16.1135,15.76,15.7065,15.91,19.008,207.3745,2574.759,3295.287,3193.918,3226.002,3114.798,3070.431
PD46,16.141,16.04,15.953,16.4665,17.7785,28.9945,803.536,2129.525,2144.317,3098.153,3778.594,3938.415,3723.548,3393.731,3450.398,3452.587
PD47,17.905,608.58,1654.288,1418.978,1637.12,1657.976,1704.917,2952.522,2989.064,2996.617,3057.354,3220.345,2954.573,2655.402,2731.847,2872.046
