content_replicate,TimeToThreshold,RAF,MPR,MS
28P.-1_3,0,0,1.047619048,5
28P.-2_3,0,0,1.118721461,5.666666667
28P.-3_3,0,0,1.09512761,4.5
blank_8-20221110_M2,0,0,1.159722222,9.333333333
neg_8-20221110_M2,0,0,1.241463415,9.166666667
pos_8-20221110_M2,13.5,0.074074074,18.95792079,1163.166667
24P.-1_4,22.5,0.044444444,12.05769231,729.3333333
24P.-2_4,0,0,1.161057692,5.833333333
24P.-3_4,0,0,1.185714286,6.833333333
26P.-1_4,0,0,1.203883495,8.333333333
26P.-2_4,0,0,1.096618357,4.666666667
26P.-3_4,0,0,1.090277778,7.166666667
28P.-1_4,0,0,1.101941748,3.333333333
28P.-2_4,0,0,1.311627907,16.83333333
28P.-3_4,0,0,1.141826923,6.666666667
blank_1-20221110_M2,0,0,1.072196621,8.166666667
neg_1-20221110_M2,0,0,1.068292683,8
pos_1-20221110_M2,12,0.083333333,14.93650794,1455
38P.-1_1,0,0,1.139495798,11.33333333
38P.-3_1,0,0,1.01088647,9.5
40P.-2_1,0,0,1.037267081,13.16666667
41P.-1_1,0,0,1.06710311,10.66666667
41P.-3_1,0,0,1.021021021,11.66666667
42P.-2_1,0,0,1.054226475,9.5
44P.-1_1,0,0,1.114104596,11.33333333
44P.-3_1,0,0,1.078101072,11.16666667
45P.-2_1,0,0,1.120556414,14.83333333
blank_2-20221110_M2,0,0,1.035661218,12.66666667
neg_2-20221110_M2,0,0,1.099358974,14.66666667
pos_2-20221110_M2,9.75,0.102564103,17.38109756,1351.333333
38P.-1_2,0,0,1.039619651,7.5
38P.-3_2,0,0,1.063694268,8.166666667
40P.-2_2,0,0,1.073206442,15.5
41P.-1_2,0,0,1.085385878,7.5
41P.-3_2,0,0,1.075362319,8.333333333
42P.-2_2,0,0,1.085669782,10.66666667
44P.-1_2,0,0,1.054711246,8.833333333
44P.-3_2,0,0,1.091463415,9
45P.-2_2,0,0,1.090236686,12.5
blank_3-20221110_M2,0,0,1.044207317,9.166666667
neg_3-20221110_M2,0,0,1.139498433,12.83333333
pos_3-20221110_M2,12,0.083333333,13.46485623,1296.833333
38P.-1_3,0,0,1.112341772,11.5
38P.-3_3,0,0,1.137030995,7.666666667
40P.-2_3,0,0,1.137071651,15.33333333
41P.-1_3,0,0,1.12106136,9.333333333
41P.-3_3,0,0,1.038580247,9.5
42P.-2_3,0,0,1.084375,8
44P.-1_3,0,0,1.080745342,12
44P.-3_3,0,0,1.053731343,12.5
45P.-2_3,0,0,1.050632911,16.83333333
blank_4-20221110_M2,0,0,1.072440945,12.5
neg_4-20221110_M2,0,0,1.046875,9.166666667
pos_4-20221110_M2,13.5,0.074074074,13.04746318,1218.5
38P.-1_4,0,0,1.050691244,9
38P.-3_4,0,0,1.095238095,7.5
40P.-2_4,0,0,1.071104387,11.83333333
41P.-1_4,0,0,1.127214171,8.666666667
41P.-3_4,0,0,1.054794521,8.166666667
42P.-2_4,0,0,1.076311606,6.333333333
44P.-1_4,0,0,1.078549849,10.5
44P.-3_4,0,0,1.081039755,13.66666667
45P.-2_4,0,0,1.08976378,8.333333333
blank_5-20221110_M2,0,0,1.109350238,14.33333333
neg_5-20221110_M2,0,0,1.096923077,11.66666667
pos_5-20221110_M2,9,0.111111111,15.07154213,1455.833333
38P.-2_1,0,0,1.118443316,8
40P.-1_1,0,0,1.12718601,12.5
40P.-3_1,0,0,1.067545305,6.5
41P.-2_1,0,0,1.081632653,7.5
42P.-1_1,0,0,1.07925801,7.666666667
42P.-3_1,0,0,1.033082707,10.66666667
44P.-2_1,0,0,1.06518283,6.666666667
45P.-1_1,0,0,1.089285714,8
45P.-3_1,0,0,1.125198098,8
blank_6-20221110_M2,0,0,1.105,8.166666667
neg_6-20221110_M2,0,0,1.084437086,6.5
pos_6-20221110_M2,9,0.111111111,18.08736349,1482.333333
38P.-2_2,0,0,1.055214724,12
40P.-1_2,0,0,1.063763608,12.33333333
40P.-3_2,0,0,1.052795031,10
41P.-2_2,0,0,1.098784195,14
42P.-1_2,0,0,1.061191626,6.333333333
42P.-3_2,0,0,1.088709677,9.166666667
44P.-2_2,0,0,1.044927536,11.66666667
45P.-1_2,0,0,1.057268722,11.66666667
45P.-3_2,0,0,1.119547658,8.666666667
blank_7-20221110_M2,0,0,1.13474026,10
neg_7-20221110_M2,0,0,1.069421488,10
pos_7-20221110_M2,9.75,0.102564103,17.71612903,1464.833333
38P.-2_3,0,0,1.089141005,8
40P.-1_3,0,0,1.134775374,6.833333333
40P.-3_3,0,0,1.042692939,6.833333333
41P.-2_3,0,0,1.061919505,8.166666667
42P.-1_3,0,0,1.066141732,11.5
42P.-3_3,0,0,1.085365854,10.83333333
44P.-2_3,0,0,1.074418605,11.66666667
45P.-1_3,0,0,1.137658228,13
45P.-3_3,0,0,1.125195618,12
blank_8-20221110_M2,0,0,1.078817734,7
neg_8-20221110_M2,0,0,1.074074074,9.333333333
pos_8-20221110_M2,14.25,0.070175439,17.24555735,1233.166667
38P.-2_4,0,0,1.085808581,7
40P.-1_4,0,0,1.072815534,5.166666667
40P.-3_4,0,0,1.066037736,9.166666667
41P.-2_4,0,0,1.054858934,7.5
42P.-1_4,0,0,1.079754601,7.166666667
42P.-3_4,0,0,1.079341317,10.16666667
44P.-2_4,0,0,1.057401813,13.33333333
45P.-1_4,0,0,1.063829787,9.5
45P.-3_4,0,0,1,12.66666667
blank_1-20221110_M3,0,0,1.142105263,5.666666667
neg_1-20221110_M3,0,0,1.084210526,4.666666667
pos_1-20221110_M3,12.75,0.078431373,20.52054795,1184.166667
29P.-1_1,0,0,1.049180328,3.5
29P.-2_1,0,0,1.033678756,3.666666667
29P.-3_1,0,0,1.0625,4
30P.-1_1,0,0,1.026011561,2.166666667
30P.-2_1,0,0,1.027508091,1.833333333
30P.-3_1,0,0,1.127717391,6.666666667
32P.-1_1,0,0,1.075880759,4.833333333
32P.-2_1,0,0,1.070224719,4.166666667
