"","well","content","replicate","content_replicate","format","plate_ID","instrument","phase","final"
"20221110_M3.86","H11","18P.-2",3,"18P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.87","H12","18P.-3",3,"18P.-3_3",96,"20221110_M3","M3","P","1"
"20221114_M2.1","A01","blank",1,"blank_1-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.2","A02","neg",1,"neg_1-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.3","A03","pos",1,"pos_1-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.4","A04","20P.-1",1,"20P.-1_1",96,"20221114_M2","M2","P","0"
"20221114_M2.5","A05","20P.-2",1,"20P.-2_1",96,"20221114_M2","M2","P","0"
"20221114_M2.6","A06","20P.-3",1,"20P.-3_1",96,"20221114_M2","M2","P","2"
"20221114_M2.7","A07","21P.-1",1,"21P.-1_1",96,"20221114_M2","M2","P","2"
"20221114_M2.8","A08","21P.-2",1,"21P.-2_1",96,"20221114_M2","M2","P","2"
"20221114_M2.9","A09","21P.-3",1,"21P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.10","A10","22P.-1",1,"22P.-1_1",96,"20221114_M2","M2","P","2"
"20221114_M2.11","A11","22P.-2",1,"22P.-2_1",96,"20221114_M2","M2","P","1"
"20221114_M2.12","A12","22P.-3",1,"22P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.13","B01","blank",2,"blank_2-20221110_M2",96,"20221114_M2","M2","P","1"
"20221114_M2.14","B02","neg",2,"neg_2-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.15","B03","pos",2,"pos_2-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.16","B04","20P.-1",2,"20P.-1_2",96,"20221114_M2","M2","P","0"
"20221114_M2.17","B05","20P.-2",2,"20P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.18","B06","20P.-3",2,"20P.-3_2",96,"20221114_M2","M2","P","2"
"20221114_M2.19","B07","21P.-1",2,"21P.-1_2",96,"20221114_M2","M2","P","2"
"20221114_M2.20","B08","21P.-2",2,"21P.-2_2",96,"20221114_M2","M2","P","2"
