Sample,x01,x02,x03,final,NumberOfReplicates
38G,-,MPR,NA,0,8
39G,-,RAF;MPR;MS,NA,1,8
62G,-,-,NA,0,8
63G,RAF;MPR;MS,-,NA,1,8
67G,-,-,NA,0,8
68G,-,-,NA,0,8
69G,-,-,NA,0,8
73G,MPR;MS,-,NA,0,8
74G,MPR;MS,-,NA,0,8
75G,MPR,-,NA,0,8
79G,MPR;MS,-,NA,0,8
80G,MPR;MS,MS,NA,0,8
193G,MPR;MS,MS,NA,0,8
194G,-,MS,NA,0,8
195G,MPR;MS,-,NA,0,8
199G,-,-,NA,0,8
200G,MPR;MS,MPR;MS,NA,0,8
242G,MPR,MPR,NA,0,8
243G,MPR,-,NA,0,8
247G,MPR;MS,MPR,NA,0,8
248G,MPR,-,NA,0,8
249G,MPR;MS,MPR,NA,0,8
81G,-,-,NA,0,8
85G,MPR,-,NA,0,8
86G,-,-,NA,0,8
87G,-,-,NA,0,8
91G,-,RAF;MPR;MS,NA,1,8
92G,-,RAF;MPR,NA,1,8
93G,RAF;MPR;MS,-,NA,1,8
97G,-,RAF;MPR;MS,NA,1,8
98G,-,RAF,NA,1,8
99G,-,RAF;MPR;MS,NA,1,8
103G,-,-,NA,0,8
104G,-,RAF,NA,1,8
105G,MPR,-,NA,0,8
109G,-,MPR,NA,0,8
110G,-,-,NA,0,8
133G,MPR,MPR,NA,0,8
134G,-,MPR,NA,0,8
135G,-,MPR,NA,0,8
139G,-,-,NA,0,8
140G,-,MPR,NA,0,8
171G,RAF;MPR;MS,MPR;MS,NA,1,8
175G,-,MS,NA,0,8
176G,-,MS,NA,0,8
177G,MS,MS,NA,0,8
181G,-,MS,NA,0,8
111G,MPR,-,NA,0,8
115G,-,-,NA,0,8
116G,MPR,-,NA,0,8
117G,MPR;MS,MS,NA,0,8
121G,RAF;MPR,MPR;MS,NA,1,8
122G,MPR,-,NA,0,8
123G,MPR;MS,-,NA,0,8
127G,MPR;MS,-,NA,0,8
128G,MPR;MS,-,NA,0,8
129G,MPR,-,NA,0,8
141G,-,-,NA,0,8
145G,-,-,NA,0,8
146G,-,-,NA,0,8
147G,-,-,NA,0,8
151G,MS,MS,NA,0,8
152G,-,RAF,NA,1,8
153G,MS,RAF,NA,0,8
157G,MPR;MS,RAF,NA,1,8
158G,MPR;MS,RAF,NA,1,8
159G,RAF;MPR;MS,-,NA,1,8
163G,RAF;MPR;MS,RAF;MPR;MS,NA,1,8
164G,RAF;MPR;MS,MPR;MS,NA,1,8
165G,RAF;MPR;MS,RAF;MPR;MS,NA,1,8
169G,MPR;MS,-,NA,0,8
170G,MPR;MS,MS,NA,0,8
201G,MPR,-,NA,0,8
205G,RAF;MPR,-,NA,1,8
206G,RAF,MS,NA,1,8
207G,MS,MS,NA,0,8
211G,-,MS,NA,0,8
272G,-,-,NA,0,8
273G,-,MS,NA,0,8
277G,-,-,NA,0,8
278G,-,-,NA,0,8
279G,-,MS,NA,0,8
212G,-,RAF;MS,NA,1,8
213G,MPR,MS,NA,0,8
217G,MPR;MS,MPR,NA,1,8
218G,RAF;MPR;MS,RAF;MPR;MS,NA,1,8
219G,MS,MPR;MS,NA,0,8
223G,MPR;MS,MPR,NA,0,8
224G,MPR,-,NA,0,8
225G,RAF;MPR;MS,MPR,NA,1,8
229G,RAF;MPR;MS,RAF;MPR,NA,1,8
230G,MPR;MS,MPR,NA,0,8
231G,MPR;MS,-,NA,0,8
235G,-,-,NA,0,8
236G,MPR,-,NA,0,8
237G,-,-,NA,0,8
241G,-,-,NA,0,8
253G,-,-,NA,0,8
254G,-,-,NA,0,8
255G,-,-,NA,0,8
259G,-,-,NA,0,8
260G,RAF;MPR;MS,-,NA,1,8
261G,-,-,NA,0,8
265G,-,-,NA,0,8
266G,-,RAF;MPR;MS,NA,1,8
267G,-,RAF,NA,1,8
271G,-,-,NA,0,8
283G,-,-,NA,0,8
284G,-,-,NA,0,8
285G,MPR;MS,-,NA,0,8
289G,MPR;MS,-,NA,0,8
290G,-,-,NA,0,8
291G,MPR,MPR,NA,0,8
297G,MPR,-,NA,0,8
298G,MPR;MS,-,NA,0,8
299G,-,-,NA,0,8
301G,MPR,-,NA,0,8
351G,-,-,NA,0,8
355G,MPR,-,NA,0,8
356G,-,-,NA,0,8
357G,-,-,NA,0,8
361G,-,-,NA,0,8
373G,RAF;MPR;MS,-,NA,1,8
374G,RAF;MPR;MS,MPR,NA,1,8
375G,RAF;MPR;MS,-,NA,1,8
379G,MPR;MS,MPR,NA,1,8
380G,MPR;MS,MPR,NA,0,8
302G,-,-,NA,0,8
303G,-,-,NA,0,8
307G,MPR,-,NA,0,8
308G,MS,-,NA,0,8
309G,RAF;MPR;MS,-,NA,1,8
381G,RAF;MPR;MS,-,NA,1,8
385G,-,-,NA,0,8
386G,-,-,NA,0,8
387G,-,-,NA,0,8
391G,MS,-,NA,0,8
313G,MPR;MS,-,NA,0,8
314G,RAF;MPR;MS,-,NA,1,8
315G,RAF;MPR;MS,MS,NA,1,8
319G,RAF;MPR,MS,NA,1,8
320G,-,RAF;MS,NA,1,8
362G,MPR;MS,-,NA,0,8
363G,-,-,NA,0,8
367G,RAF;MPR;MS,RAF;MS,NA,1,8
368G,MS,RAF;MS,NA,1,8
369G,RAF;MPR;MS,MS,NA,1,8
321G,-,RAF;MS,NA,1,8
325G,-,RAF;MS,NA,1,8
326G,MPR,RAF;MPR;MS,NA,1,8
327G,MPR,RAF;MPR;MS,NA,1,8
331G,MPR;MS,MPR;MS,NA,0,8
332G,-,-,NA,0,8
333G,-,-,NA,0,8
337G,-,-,NA,0,8
338G,-,-,NA,0,8
339G,MPR,-,NA,0,8
343G,-,-,NA,0,8
344G,-,-,NA,0,8
345G,-,-,NA,0,8
349G,-,-,NA,0,8
350G,-,-,NA,0,8
182G,MPR,-,NA,0,8
183G,-,-,NA,0,8
187G,MPR;MS,-,NA,0,8
188G,MPR,-,NA,0,8
189G,-,MPR,NA,0,8
452G,-,-,NA,0,8
453G,-,-,NA,0,8
20G,-,-,NA,0,8
433G,MPR;MS,-,NA,0,8
434G,RAF;MPR;MS,-,NA,1,8
435G,RAF;MPR;MS,-,NA,1,8
439G,MS,-,NA,0,8
440G,MPR,-,NA,0,8
392G,MPR,-,NA,0,8
393G,-,-,NA,0,8
397G,-,-,NA,0,8
398G,-,-,NA,0,8
399G,MPR,-,NA,0,8
403G,-,-,NA,0,8
404G,-,-,NA,0,8
405G,-,-,NA,0,8
409G,-,-,NA,0,8
410G,-,-,NA,0,8
411G,-,-,NA,0,8
415G,-,-,NA,0,8
416G,-,-,NA,0,8
417G,-,-,NA,0,8
421G,MS,RAF;MPR;MS,NA,1,8
422G,-,-,NA,0,8
423G,MPR;MS,MPR;MS,NA,0,8
427G,-,MS,NA,0,8
428G,MPR,RAF;MPR;MS,NA,1,8
429G,MPR,MPR;MS,NA,0,8
441G,MPR;MS,-,NA,0,8
445G,MPR,-,NA,0,8
446G,MPR,-,NA,0,8
447G,-,-,NA,0,8
451G,-,-,NA,0,8
